Dates,AAPL,AMZN
1998-08-31,0.278,0.698
1998-09-01,0.305,0.666
1998-09-02,0.318,0.732
1998-09-03,0.309,0.716
1998-09-04,0.314,0.719
1998-09-08,0.342,0.769
1998-09-09,0.334,0.704
1998-09-10,0.34,0.664
1998-09-11,0.336,0.634
1998-09-14,0.332,0.614
1998-09-15,0.341,0.608
1998-09-16,0.333,0.704
1998-09-17,0.321,0.642
1998-09-18,0.328,0.664
1998-09-21,0.33,0.713
1998-09-22,0.33,0.735
1998-09-23,0.342,0.876
1998-09-24,0.344,0.851
1998-09-25,0.346,0.91
1998-09-28,0.349,0.964
1998-09-29,0.353,0.943
1998-09-30,0.34,0.93
1998-10-01,0.319,0.855
1998-10-02,0.313,0.919
1998-10-05,0.287,0.883
1998-10-06,0.291,0.903
1998-10-07,0.285,0.779
1998-10-08,0.275,0.718
1998-10-09,0.314,0.76
1998-10-12,0.334,0.777
1998-10-13,0.346,0.761
1998-10-14,0.334,0.779
1998-10-15,0.327,0.809
1998-10-16,0.328,0.829
1998-10-19,0.335,0.881
1998-10-20,0.322,0.89
1998-10-21,0.331,0.917
1998-10-22,0.328,0.956
1998-10-23,0.317,0.968
1998-10-26,0.334,1.012
1998-10-27,0.315,0.969
1998-10-28,0.329,0.976
1998-10-29,0.325,1.054
1998-10-30,0.331,1.054
1998-11-02,0.336,1.092
1998-11-03,0.338,1.051
1998-11-04,0.345,1.082
1998-11-05,0.341,1.071
1998-11-06,0.34,1.038
1998-11-09,0.327,1.057
1998-11-10,0.314,1.098
1998-11-11,0.3,1.055
1998-11-12,0.304,1.092
1998-11-13,0.319,1.065
1998-11-16,0.321,1.052
1998-11-17,0.311,1.238
1998-11-18,0.316,1.367
1998-11-19,0.319,1.277
1998-11-20,0.315,1.505
1998-11-23,0.324,1.817
1998-11-24,0.321,1.788
1998-11-25,0.314,1.753
1998-11-27,0.313,1.805
1998-11-30,0.285,1.6
1998-12-01,0.305,1.746
1998-12-02,0.321,1.663
1998-12-03,0.301,1.579
1998-12-04,0.292,1.571
1998-12-07,0.301,1.592
1998-12-08,0.286,1.701
1998-12-09,0.286,1.802
1998-12-10,0.286,1.776
1998-12-11,0.301,1.858
1998-12-14,0.29,1.852
1998-12-15,0.3,2.023
1998-12-16,0.293,2.408
1998-12-17,0.299,2.306
1998-12-18,0.314,2.389
1998-12-21,0.313,2.656
1998-12-22,0.339,2.686
1998-12-23,0.355,2.708
1998-12-24,0.35,2.707
1998-12-28,0.365,2.933
1998-12-29,0.364,2.769
1998-12-30,0.358,2.677
1998-12-31,0.366,2.677
1999-01-04,0.368,2.958
1999-01-05,0.387,3.113
1999-01-06,0.373,3.45
1999-01-07,0.402,3.972
1999-01-08,0.402,4.006
1999-01-11,0.41,4.616
1999-01-12,0.412,4.084
1999-01-13,0.415,3.7
1999-01-14,0.369,3.45
1999-01-15,0.369,3.509
1999-01-19,0.365,3.495
1999-01-20,0.362,2.825
1999-01-21,0.347,2.65
1999-01-22,0.346,3.075
1999-01-25,0.352,2.809
1999-01-26,0.362,2.877
1999-01-27,0.358,3.141
1999-01-28,0.365,3.072
1999-01-29,0.368,2.923
1999-02-01,0.366,2.897
1999-02-02,0.35,2.756
1999-02-03,0.359,3.144
1999-02-04,0.338,2.95
1999-02-05,0.324,2.897
1999-02-08,0.337,2.728
1999-02-09,0.332,2.5
1999-02-10,0.342,2.436
1999-02-11,0.354,2.747
1999-02-12,0.336,2.613
1999-02-16,0.342,2.466
1999-02-17,0.33,2.338
1999-02-18,0.321,2.238
1999-02-19,0.332,2.547
1999-02-22,0.343,2.663
1999-02-23,0.343,2.88
1999-02-24,0.334,2.773
1999-02-25,0.33,3.125
